,Year,Month,First Day of Weekend,Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date
409,2016,03,04,1,London Has Fallen,UK/USA,3229675,Lionsgate,-,1,513,6295.662768031189,3229675
410,2016,03,04,2,"Hail, Caesar!",USA,1520788,Universal,-,1,494,3078.518218623482,1520788
411,2016,03,04,3,Deadpool,USA/Can,1487073,20th Century Fox,-0.5033224327923366,4,523,2843.3518164435945,34065741
412,2016,03,04,4,Grimsby,UK/USA,806095,Sony Pictures,-0.5837842666275629,2,509,1583.6836935166993,3567392
413,2016,03,04,5,Alvin and the Chipmunks: The Road Chip,USA,538303,20th Century Fox,-0.5620166486446024,4,528,1019.5132575757576,15344097
414,2016,03,04,6,How To Be Single,USA,537160,Warner Bros,-0.43712269899435297,3,439,1223.5990888382687,4771201
415,2016,03,04,7,The Revenant,USA,338921,20th Century Fox,-0.21742794733609488,8,356,952.0252808988764,22496859
416,2016,03,04,8,Spotlight,USA,332556,eOne Films,0.6976670580427792,6,407,817.0909090909091,5406837
417,2016,03,04,9,Manon Lescaut - Met Opera 2016 (Opera),USA,279586,By Experience,-,1,174,1606.816091954023,279586
418,2016,03,04,10,The Other Side of the Door,UK/USA,262955,20th Century Fox,-,1,335,784.9402985074627,262955
419,2016,03,04,11,Goosebumps,USA/Aus,232306,Sony Pictures,-0.5354567524006447,5,449,517.3853006681514,8439207
420,2016,03,04,12,Secret Cinema 2016,,188404,Independent,-0.020458669328633296,4,1,188404,816143
421,2016,03,04,13,The Choice,USA,139669,Lionsgate,-,1,205,681.3121951219512,139669
422,2016,03,04,14,The Forest,UK/USA,126257,Icon,-0.7183385461051448,2,312,404.66987179487177,816415
423,2016,03,04,15,Dad's Army,UK,114673,Universal,-0.6875650491785413,5,316,362.8892405063291,8091980
424,2016,03,04,17,Star Wars: The Force Awakens,UK/USA,85024,Disney,-0.52342410008632,12,164,518.439024390244,122758800
425,2016,03,04,31,Brooklyn,UK/Ire/Can,15492,Lionsgate,-0.3953397603528355,18,38,407.6842105263158,5804074
426,2016,03,04,35,Pan,UK/USA/Aus,12094,Warner Bros,9.345594525235244,21,114,106.08771929824562,9235931
427,2016,03,04,41,The Lady in the Van,UK,8184,Sony Pictures,-0.30767278572032825,17,13,629.5384615384615,13142190
428,2016,03,04,45,Youth,UK/Fra/Sui/Ita,7007,StudioCanal,-0.7063039651270014,6,14,500.5,870651
429,2016,03,04,46,The Danish Girl,UK/Ger,6894,Universal,-0.5263999404722157,10,17,405.52941176470586,7326417.305217951
430,2016,03,04,52,Pride and Prejudice and Zombies,UK/USA,5057,Lionsgate,-0.7116382505559674,4,21,240.8095238095238,728917
431,2016,03,04,55,Hangmen - NT Live 2016 (Theatre),UK,3762,National Theatre/ Picture House Entertainment,-,2,6,627,552820.816964723
432,2016,03,04,59,Matthew Bourne's The Car Man 2015 (Dance),UK,2749,MORE2SCR,-,2,2,1374.5,28723.33999998996
433,2016,03,04,63,Carol,UK/USA,2053,StudioCanal,-0.6809138949331677,15,4,513.25,2724341
434,2016,03,04,66,45 Years,UK,1510,Curzon/Artificial Eye,9.202702702702704,28,4,377.5,1827407
435,2016,03,04,72,The Martian,UK/USA,1148,20th Century Fox,-0.9605308395791791,23,4,287,23578878
436,2016,03,04,75,As You Like It - NT Live 2016 (Theatre),UK,932,National Theatre/ Picture House Entertainment,-0.6152734778118741,3,1,932,530655.7660235768
437,2016,03,04,76,SPECTRE,UK/USA,879,Sony Pictures,0.11548223350253808,19,1,879,95183468
438,2016,03,04,81,Les Liaisons Dangereuses - NT Live 2016 (Theatre),UK,719,National Theatre/ Picture House Entertainment,-0.8264123611782123,7,2,359.5,685944.0999393739
439,2016,03,04,85,Lost in Karastan,UK/Georgia/Ger/Rus,617,Bulldog,-,7,1,617,1153
440,2016,03,04,88,King Jack,UK/USA,585,Vertigo,-0.8028311425682508,2,1,585,6184
441,2016,03,04,94,Innocence of Memories,UK/Ire,435,Soda,-0.4740024183796856,6,3,145,27067
442,2016,03,04,99,Steve Jobs,UK/USA,382,Universal,-0.7247838616714698,17,1,382,2372904
443,2016,03,04,100,Sunset Song,UK/Lux,351,Metrodome,-0.8647919876733438,14,2,175.5,484353
